"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SP","Zack Greinke",10900,"LAD@SF 10:15PM ET",23.317
"SP","C.J. Wilson",10800,"Oak@LAA 10:05PM ET",23.367
"SP","Madison Bumgarner",10800,"LAD@SF 10:15PM ET",18.650
"SP","Andrew Cashner",10400,"Col@SD 10:10PM ET",28.017
"SP","Tyler Skaggs",9900,"Oak@LAA 10:05PM ET",19.675
"SP","Tim Hudson",9800,"LAD@SF 10:15PM ET",23.383
"SP","Dan Haren",9600,"LAD@SF 10:15PM ET",19.650
"SP","Bartolo Colon",9400,"NYM@Ari 09:40PM ET",9.233
"SP","Matt Cain",9300,"LAD@SF 10:15PM ET",12.433
"RP","Yusmeiro Petit",9300,"LAD@SF 10:15PM ET",3.430
"SP","Dan Straily",9200,"Oak@LAA 10:05PM ET",21.025
"SP","Scott Kazmir",9000,"Oak@LAA 10:05PM ET",24.833
"SP","Robbie Erlin",9000,"Col@SD 10:10PM ET",14.300
"SP","Jered Weaver",9000,"Oak@LAA 10:05PM ET",12.933
"SP","Sonny Gray",8900,"Oak@LAA 10:05PM ET",23.650
"SP","Tim Lincecum",8700,"LAD@SF 10:15PM ET",7.450
"SP","Wade Miley",8700,"NYM@Ari 09:40PM ET",13.763
"SP","Jenrry Mejia",8200,"NYM@Ari 09:40PM ET",18.675
"SP","Eric Stults",8200,"Col@SD 10:10PM ET",4.375
"SP","Ian Kennedy",8100,"Col@SD 10:10PM ET",15.617
"SP","Hector Santiago",8000,"Oak@LAA 10:05PM ET",6.800
"SP","Jonathon Niese",8000,"NYM@Ari 09:40PM ET",14.425
"SP","Hyun-jin Ryu",7900,"LAD@SF 10:15PM ET",18.363
"SP","Zack Wheeler",7900,"NYM@Ari 09:40PM ET",12.275
"SP","Paul Maholm",7700,"LAD@SF 10:15PM ET",-0.050
"SP","Dillon Gee",7600,"NYM@Ari 09:40PM ET",12.150
"SP","Ryan Vogelsong",7500,"LAD@SF 10:15PM ET",5.425
"SP","Tommy Milone",7400,"Oak@LAA 10:05PM ET",12.650
